pid,label,sent1,sent2,pred0,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36,pred37,pred38,pred39,pred40,pred41,pred42,pred43,pred44,pred45,pred46,pred47,pred48,pred49,pred50,pred51,pred52,pred53,pred54,pred55,pred56,pred57,pred58,pred59,pred60,pred61,pred62,pred63,pred64,pred65,pred66,pred67,pred68,pred69,pred70,pred71,pred72,pred73,pred74,pred75,pred76,pred77,pred78,pred79,pred80,pred81,pred82,pred83,pred84,pred85,pred86,pred87,pred88,pred89,pred90,pred91,pred92,pred93,pred94,pred95
0,3.0," patient arrives, via hospital wheelchair, gait steady, history obtained from patient, patient appears comfortable, patient cooperative, alert, oriented to person, place and time."," complex assessment performed, patient arrives ambulatory, gait steady, history obtained from, parent, patient appears comfortable, patient cooperative, alert, oriented to person, place and time.",3.4746206,3.4009748,3.4478655,3.4009757,3.5857034,3.4454777,3.447864,3.3417606,3.8773189,3.283875,3.5218232,3.2838743,3.877322,3.3417618,3.3391662,3.8098054,3.7117321,3.3075767,3.3976672,3.521824,3.3976684,3.4088564,3.40884,3.5912676,3.5857038,3.4454784,3.3391678,3.4745128,3.5912614,3.7117317,3.3075767,3.8098085,3.4307663,3.814419,3.6067443,3.814412,3.7289562,3.2382026,3.606747,3.4000683,3.4976566,3.5900712,3.8329754,3.5900726,3.4976592,3.400958,3.3936062,4.2574487,3.642148,3.379693,3.5230887,3.8329263,3.5230882,3.7797997,3.7798007,3.4398506,3.7277088,3.2382076,3.3935907,3.4311628,3.444057,3.6428528,3.3796937,4.2574296,3.5213456,3.5752866,3.7915971,3.5787327,3.6434374,3.0672848,3.782521,3.504972,3.509293,3.4352226,3.357014,3.432812,3.5097668,3.4884012,3.7922027,3.4342256,3.5870728,3.8120618,3.4243097,3.3593287,3.4148154,3.739212,3.7371535,3.8430994,3.658027,3.0551035,3.7985804,3.512186,3.4429505,3.5866935,3.8072193,3.435472
1,1.0,oxycodone  roxicodone  5 mg tablet 0.5-1 tablets by mouth every 4 hours as needed.,pantoprazole  protonix  40 mg tablet enteric coated 1 tablet by mouth bid before meals.,1.557429,1.9747123,0.9759802,1.974711,1.4759916,2.1184487,0.97598404,1.4356965,2.4538853,1.4077463,1.5584674,1.4077482,2.4538848,1.4356973,1.1298312,1.5833102,1.6268126,1.8472638,1.4062015,1.558467,1.406202,1.5891951,1.5891664,2.566033,1.4759912,2.118449,1.1298337,1.5574894,2.566028,1.626806,1.8472629,1.5833094,1.9289742,1.4373314,1.5484571,1.4373282,1.8355719,1.38583,1.5484596,1.5264658,1.5742188,1.8349025,1.4317566,1.8349012,1.5742235,1.5268776,1.5072263,1.7350119,1.5861003,1.3248609,2.1453817,1.431762,2.1453812,1.8892633,1.8892671,1.1634452,1.8422168,1.3858452,1.5073137,1.9289082,1.1492163,1.5856993,1.3248507,1.735021,2.1657794,2.1313226,1.2988966,2.126185,1.1121972,1.3617092,1.2833445,1.8095397,1.2306614,1.1511868,1.494945,1.1538042,1.2306209,1.7913159,1.8904922,1.9607981,1.7250633,2.3569763,1.2864499,1.4774492,1.2916338,2.1378284,2.1345923,1.407455,1.1044986,1.3653609,1.910281,2.039426,1.3813976,1.7233849,2.3581753,1.9609166
2,0.0,the patient has missed 0 hours of work in the past seven days for issues not related to depression., in the past year the patient has the following number of visits: none in the hospital  none in the er and  one as an outpatient.,0.24194399,0.1547925,0.3807088,0.15479223,0.3172441,0.06892687,0.38070926,0.29688308,0.56284016,0.123135276,0.017138816,0.123135984,0.5628393,0.29688287,0.23441999,0.21985118,0.20132725,-0.1692693,0.34705594,0.017138753,0.3470564,0.07992936,0.079919554,0.35393214,0.31724432,0.06892964,0.2344246,0.24196596,0.35393113,0.20132716,-0.16926928,0.21985082,0.42592162,0.2551103,-0.11049544,0.25511456,-0.02119442,0.20612456,-0.1104896,0.08126166,0.36286288,0.17325932,0.32722488,0.1732588,0.36285877,0.08139704,-0.12748986,0.2804026,0.526786,0.27733028,0.16034643,0.3272171,0.16034706,0.31195268,0.31195757,0.63141465,-0.017197425,0.20612186,-0.12750933,0.42559394,0.61158687,0.52702683,0.27732906,0.28043047,0.31910294,0.34337336,0.23867448,0.33881184,0.051751822,0.26111162,0.21821746,0.19157107,-0.0063189706,0.012665002,0.2881684,0.02884688,-0.01806802,0.19430742,0.17436507,0.253743,-0.0650678,0.23474428,0.14469634,0.29108807,0.12910494,0.24947871,0.25024596,0.39416286,0.040711336,0.29524088,0.19070376,0.32323352,0.0770909,-0.067470126,0.23124942,0.2542283
3,3.0," given current medication regimen, the following parameters should be monitored by outpatient providers: none"," given current medication regimen, the following parameters should be monitored by outpatient providers: lithium level",3.40362,3.858039,3.5333502,3.8580384,3.357818,3.6695175,3.533349,3.3839793,3.4999297,3.0534089,3.7437053,3.0534096,3.4999323,3.383989,3.3914213,4.261105,3.9191926,3.5283628,3.24633,3.7437022,3.2463303,3.7239926,3.723836,3.314375,3.3578181,3.6695175,3.3914208,3.4035783,3.314372,3.919193,3.528363,4.261101,3.4726818,4.071983,4.126631,4.0719824,3.5832727,3.8027253,4.1266203,3.6613457,3.4905663,4.201587,3.3180664,4.201593,3.4905746,3.6617117,3.8519301,4.4706774,3.8880262,3.901627,4.095543,3.3180852,4.095541,4.087901,4.0879,3.4511387,3.599934,3.8027303,3.8521395,3.4729183,3.4114318,3.8871043,3.9016206,4.470685,2.5807488,2.9814172,2.7013571,2.9768333,2.1427913,2.4870188,2.7108335,2.698367,2.9326444,2.4063876,3.058048,2.4033062,2.9621384,2.6527555,2.5628953,2.8683083,2.5599537,3.1823244,2.8492682,3.0484204,2.8627698,3.0409417,3.0403514,2.4147384,2.121357,2.5038753,2.5764437,2.5173264,2.2900388,2.5613863,3.165605,2.8688416
4,4.0,the diagnosis and treatment plan were explained to the family caregiver who expressed understanding of the information presented., explained diagnosis and treatment plan; patient expressed adequate understanding of the information presented today.,3.9784825,4.0678787,4.3721204,4.0678787,4.3613343,4.17306,4.3721185,4.278813,4.55293,4.201995,4.378396,4.2019944,4.552931,4.278813,4.2138424,4.3461237,4.147233,4.2475653,4.280465,4.378396,4.2804656,4.2940197,4.2940693,4.481224,4.3613343,4.1730614,4.213842,3.9784212,4.48122,4.1472335,4.247565,4.3461266,4.4277453,4.184945,3.8796656,4.184945,4.436412,4.1821833,3.8796644,4.12181,4.3579473,4.060687,4.24888,4.0606923,4.357944,4.122311,4.038311,4.455159,4.2573977,4.303716,4.1102123,4.2488856,4.1102114,4.2083426,4.208344,4.0154285,4.4416213,4.1821837,4.038457,4.4277205,4.0086365,4.258283,4.3037143,4.455147,4.550048,4.53274,4.922548,4.5358605,4.7074738,4.636281,4.8607116,4.6228065,4.714571,4.4330754,4.820412,4.4341803,4.6814594,4.606862,4.4736075,4.812875,4.2925987,4.395696,4.7398934,4.8282924,4.7598104,4.4954257,4.502099,4.853559,4.7382746,4.618507,4.4827175,4.5107055,4.8195643,4.292732,4.405362,4.8134804
5,1.0,nortriptyline  pamelor  50 mg capsule 1 capsule by mouth every bedtime.,tylenol extra strength 500 mg tablet 2 tablets by mouth every bedtime.,1.4093051,1.737282,1.4100089,1.7372838,1.8843778,1.5547144,1.4100136,1.5337294,2.6325352,1.4822333,1.8146114,1.4822333,2.6325355,1.5337284,1.2699584,1.8533529,1.3303972,1.7325276,1.6868964,1.8146089,1.6868945,1.5326293,1.5325834,2.3986795,1.8843784,1.5547161,1.2699605,1.4092963,2.3986778,1.3303934,1.7325281,1.8533518,1.6448859,1.4925792,1.5088208,1.4925795,1.7245476,1.4546783,1.508821,1.6786395,1.5674816,1.794873,1.6198946,1.7948694,1.5674837,1.679007,1.63282,1.9009904,1.3900944,1.8516256,2.2207017,1.6198974,2.2207022,2.2295494,2.229553,1.4738623,1.7320598,1.4546847,1.6328187,1.6447787,1.4605547,1.3904145,1.8516173,1.9009767,2.1104038,2.1865363,1.3118768,2.1785367,1.3620387,1.3304294,1.2816893,1.8240288,1.3783035,1.2186953,1.7203524,1.2203926,1.3984785,1.817824,1.9523518,2.2547855,1.7737513,2.5681381,1.348154,1.7181349,1.3425682,2.3389652,2.333793,1.4944273,1.3574461,1.3389834,1.9694737,2.0395463,1.3007439,1.7734861,2.5705209,2.2571347
6,4.0,spent 25 minutes with the patient and greater than 50% of this time was spent counseling the patient regarding diagnosis and available treatment options., spent 15 minutes with the patient and greater than 50% of this time was spent counseling the patient regarding diagnosis and available treatment options; 025 modifier.,4.25432,4.4607925,4.4100184,4.460793,4.3609257,4.4765573,4.410018,4.289876,4.64001,4.3611035,4.365201,4.361103,4.640011,4.2898784,4.2984,4.475604,4.4325223,4.464177,4.4502196,4.3652015,4.45022,4.5755067,4.5755286,4.4948153,4.360926,4.4765573,4.2984004,4.254301,4.4948096,4.432523,4.4641767,4.475605,4.1612806,4.3052354,4.166934,4.305234,4.192733,4.328687,4.166939,3.77244,4.090676,4.1936765,4.1377716,4.193675,4.0906806,3.7732878,4.046252,4.2414474,4.100931,4.327328,4.252496,4.1377892,4.2524953,4.1972046,4.19721,3.7163844,4.20495,4.328685,4.046218,4.160943,3.6986268,4.101076,4.3273287,4.241429,4.646844,4.510281,4.0553675,4.516511,3.9624164,4.521409,4.071397,4.15963,4.2352376,3.7771838,4.705786,3.775189,4.2759953,4.153912,4.017286,4.9964147,4.598859,4.650794,3.8494165,4.713726,3.8689923,4.7665668,4.764866,4.447551,3.9608667,4.50436,4.0321727,4.6160707,4.125041,4.6002946,4.656914,4.99627
7,2.5,"respiratory: negative for cough, chest tightness, shortness of breath and stridor.","hent: negative for congestion, rhinorrhea, sinus pressure and sore throat.",2.0356896,2.3434064,1.6470598,2.343411,1.4182143,2.9315112,1.6470606,1.1725976,1.4263572,1.3774276,1.2935666,1.3774256,1.4263595,1.1725903,1.4774287,1.6539342,1.7677964,2.4399314,1.6645497,1.293567,1.6645491,1.787479,1.7873702,1.5740783,1.4182128,2.9315119,1.4774303,2.0356424,1.5740874,1.7677948,2.4399352,1.6539357,1.4730772,1.5720484,2.652265,1.5720526,1.197768,2.5726964,2.6522691,1.3341577,2.0466168,2.1143863,1.4959857,2.114388,2.0466073,1.3344259,2.0048962,0.99845845,1.2887905,2.2268353,1.5367455,1.4960053,1.5367472,1.6105593,1.6105705,1.4705957,1.2065088,2.572698,2.0046124,1.4730647,1.4607186,1.2923526,2.226839,0.9984658,2.020278,1.7248411,1.0703912,1.7075953,2.0650032,1.9311585,1.075532,1.6773729,2.5212355,1.7316984,2.1170459,1.6707425,2.4475887,1.8762898,0.8350865,1.9308453,1.5868686,1.8558525,1.690852,2.1163719,1.6671938,1.8232964,1.8185866,2.7981718,2.0487506,1.9300308,0.85875106,1.9936949,2.7282937,1.5863825,1.8630465,1.9342176
8,1.0,ondansetron  zofran  4 mg tablet 1 tablet by mouth three times a day as needed.,minocycline  minocin  50 mg capsule 1 capsule by mouth two times a day.,2.2616382,2.1168966,2.0002635,2.116893,2.037594,2.1402497,2.0002637,1.8530313,2.5346732,1.9927667,1.9667486,1.9927651,2.5346725,1.8530363,1.8912299,2.0805614,2.0599258,2.093732,2.0970995,1.966749,2.0971005,1.7122595,1.7122726,2.512187,2.037593,2.1402483,1.8912295,2.2616448,2.5121827,2.0599186,2.093731,2.0805604,1.8946753,1.546124,1.6601317,1.5461212,1.8027201,1.588614,1.6601369,1.5751415,1.8229197,1.8318086,1.6350986,1.8318088,1.82292,1.5753831,1.4264959,2.0131748,1.5502408,1.4254994,2.1326358,1.6350955,2.1326354,1.9690691,1.9690697,1.5446911,1.8087941,1.5886197,1.4265041,1.8950378,1.5282328,1.5502506,1.4254936,2.0131764,2.663565,2.3109596,1.2715269,2.3042657,1.3340294,1.4660622,1.2512491,2.1381629,1.4710641,1.0475698,1.8415942,1.0583895,1.4919142,2.1285164,1.9916813,2.327167,2.1156652,2.6101704,1.2192078,1.8406261,1.2250174,2.32748,2.320621,1.6644025,1.3246343,1.4791082,2.0127833,2.60115,1.520527,2.1152985,2.612727,2.3282146
9,4.9,explained diagnosis and treatment plan; patient child caregiver expressed understanding of the content, explained diagnosis and treatment plan; patient care giver expressed understanding of the content.,4.4197416,4.6363063,5.0425296,4.6363072,5.0293565,4.60231,5.04253,5.070445,5.026707,4.9405556,4.8362417,4.9405546,5.0267076,5.070445,4.958078,4.8600135,4.5375023,4.5830035,5.027068,4.836242,5.027068,4.7092247,4.7092304,4.8852873,5.029358,4.602311,4.95808,4.4196706,4.885283,4.5375032,4.583004,4.8600154,4.76594,4.5975475,4.673826,4.597548,4.8802977,4.63723,4.67383,4.7110815,4.749822,4.9222817,4.7032275,4.92228,4.7498336,4.710182,4.94333,4.761473,4.48383,4.75208,4.576031,4.7032514,4.576029,4.6659484,4.6659474,4.8601203,4.863165,4.6372304,4.9434667,4.765135,4.8425612,4.483838,4.7520814,4.7614594,4.746596,4.575343,4.902772,4.5826354,4.921787,4.6951876,4.894555,4.836493,4.737724,4.5221148,4.992052,4.5195184,4.7314672,4.826604,4.6421,5.007401,4.6165338,4.4923854,4.8531165,4.9992213,4.8659763,4.585432,4.592238,5.0744615,4.9406147,4.6792707,4.6523623,4.719547,5.0093637,4.617472,4.499335,5.007575
